,legacy1,legacy2,current,bank,
1998M01,29.8,,,29.8,
1998M02,30.2,,,30.2,
1998M03,38.8,,,38.8,
1998M04,39.6,,,39.6,
1998M05,40.7,,,40.7,
1998M06,47.7,,,47.7,
1998M07,44.2,,,44.2,
1998M08,48.5,,,48.5,
1998M09,44.8,,,44.8,
1998M10,48.2,,,48.2,
1998M11,45.1,,,45.1,
1998M12,40.5,,,40.5,
1999M01,44.8,,,44.8,
1999M02,44,,,44,
1999M03,47.5,,,47.5,
1999M04,44.1,,,44.1,
1999M05,44.7,,,44.7,
1999M06,32.1,,,32.1,
1999M07,39,,,39,
1999M08,38.6,,,38.6,
1999M09,37.9,,,37.9,
1999M10,37,,,37,
1999M11,38.8,,,38.8,
1999M12,32.1,,,32.1,
2000M01,33.8,,,33.8,
2000M02,31.2,,,31.2,
2000M03,29.5,,,29.5,
2000M04,29.1,,,29.1,
2000M05,25.3,,,25.3,
2000M06,22.8,,,22.8,
2000M07,22.5,,,22.5,
2000M08,21.2,,,21.2,
2000M09,20.2,,,20.2,
2000M10,19.9,,,19.9,
2000M11,18.2,,,18.2,
2000M12,18.1,,,18.1,
2001M01,18.5,,,18.5,
2001M02,19.1,,,19.1,
2001M03,18.7,,,18.7,
2001M04,17.4,,,17.4,
2001M05,18.1,,,18.1,
2001M06,18,,,18,
2001M07,18.5,,,18.5,
2001M08,18,,,18,
2001M09,17.1,,,17.1,
2001M10,17.4,,,17.4,
2001M11,16.9,,,16.9,
2001M12,16.3,,,16.3,
2002M01,18,,,18,
2002M02,15.9,,,15.9,
2002M03,15.7,,,15.7,
2002M04,18.4,,,18.4,
2002M05,17.7,,,17.7,
2002M06,15.2,,,15.2,
2002M07,16.1,,,16.1,
2002M08,14.9,,,14.9,
2002M09,13.4,,,13.4,
2002M10,13.6,,,13.6,
2002M11,14.7,,,14.7,
2002M12,14.9,,,14.9,
2003M01,14.6,,,14.6,
2003M02,14,,,14,
2003M03,13.4,,,13.4,
2003M04,15.8,,,15.8,
2003M05,12.6,,,12.6,
2003M06,11.9,,,11.9,
2003M07,11.9,,,11.9,
2003M08,11.8,,,11.8,
2003M09,13.2,,,13.2,
2003M10,12.6,,,12.6,
2003M11,12.1,,,12.1,
2003M12,12.4,,,12.4,
2004M01,12.3,,,12.3,
2004M02,11.1,,,11.1,
2004M03,11.7,,,11.7,
2004M04,12.1,,,12.1,
2004M05,12.9,,,12.9,
2004M06,11.6,,,11.6,
2004M07,11.4,,,11.4,
2004M08,11.6,,,11.6,
2004M09,11.5,,,11.5,
2004M10,10.9,,,10.9,
2004M11,10.9,,,10.9,
2004M12,10.8,,,10.8,
2005M01,10.7,,,10.7,
2005M02,10.7,,,10.7,
2005M03,10.5,,,10.5,
2005M04,10.3,,,10.3,
2005M05,11,,,11,
2005M06,11,,,11,
2005M07,10.1,,,10.1,
2005M08,10.6,,,10.6,
2005M09,10.5,,,10.5,
2005M10,10.7,,,10.7,
2005M11,11.5,,,11.5,
2005M12,11.2,,,11.2,
2006M01,10.2,,,10.2,
2006M02,10.7,,,10.7,
2006M03,10.3,,,10.3,
2006M04,10.7,,,10.7,
2006M05,10.9,,,10.9,
2006M06,10.4,,,10.4,
2006M07,10.4,,,10.4,
2006M08,10.4,,,10.4,
2006M09,10.7,,,10.7,
2006M10,10.1,,,10.1,
2006M11,10.9,,,10.9,
2006M12,11.1,,,11.1,
2007M01,10.1,,,10.1,
2007M02,9.9,,,9.9,
2007M03,10.2,,,10.2,
2007M04,9.9,,,9.9,
2007M05,9.6,,,9.6,
2007M06,9.5,,,9.5,
2007M07,9.2,,,9.2,
2007M08,10.1,,,10.1,
2007M09,10.7,,,10.7,
2007M10,10.8,,,10.8,
2007M11,11.1,,,11.1,
2007M12,11,,,11,
2008M01,10.4,,,10.4,
2008M02,11,,,11,
2008M03,11.4,,,11.4,
2008M04,11.2,,,11.2,
2008M05,11,,,11,
2008M06,11.3,,,11.3,
2008M07,11.4,,,11.4,
2008M08,11.9,,,11.9,
2008M09,12.8,,,12.8,
2008M10,14.3,,,14.3,
2008M11,15.2,,,15.2,
2008M12,15.6,,,15.6,
2009M01,17.4,,,17.4,
2009M02,16.9,,,16.9,
2009M03,16,,,16,
2009M04,15.9,,,15.9,
2009M05,15.9,,,15.9,
2009M06,15.4,,,15.4,
2009M07,14.7,,,14.7,
2009M08,15.1,,,15.1,
2009M09,14.5,,,14.5,
2009M10,13.9,,,13.9,
2009M11,13.6,,,13.6,
2009M12,13.6,,,13.6,
2010M01,13.8,,,13.8,
2010M02,12.7,,,12.7,
2010M03,11.7,,,11.7,
2010M04,11.4,,,11.4,
2010M05,11.4,,,11.4,
2010M06,11.5,,,11.5,
2010M07,10.5,,,10.5,
2010M08,10,,,10,
2010M09,9.7,,,9.7,
2010M10,8.9,,,8.9,
2010M11,9.2,,,9.2,
2010M12,9.2,,,9.2,
2011M01,8.6,8.6,,8.6,
2011M02,8.7,8.7,,8.7,
2011M03,8.7,8.7,,8.7,
2011M04,8.3,8.3,,8.3,
2011M05,8,8,,8,
2011M06,8.7,8.6,,8.65,
2011M07,8,7.9,,7.95,
2011M08,8,7.9,,7.95,
2011M09,8.1,8,,8.05,
2011M10,8.8,8.6,,8.7,
2011M11,9,8.8,,8.9,
2011M12,9.6,9.3,,9.45,
2012M01,9.2,8.8,,9,
2012M02,9.3,8.9,,9.1,
2012M03,9.8,9.2,,9.5,
2012M04,9.6,9,,9.3,
2012M05,10,8.9,,9.45,
2012M06,10.1,9.3,,9.7,
2012M07,10,9.5,,9.75,
2012M08,10,9.1,,9.55,
2012M09,9.7,8.9,,9.3,
2012M10,10.1,9.1,,9.6,
2012M11,10.3,9.1,,9.7,
2012M12,10.4,9.4,,9.9,
2013M01,,8.8,,8.8,
2013M02,,9.6,,9.6,
2013M03,,10,,10,
2013M04,,10.2,,10.2,
2013M05,,9.9,,9.9,
2013M06,,9.5,,9.5,
2013M07,,9.2,,9.2,
2013M08,,9.3,,9.3,
2013M09,,9.5,,9.5,
2013M10,,9.2,,9.2,
2013M11,,9,,9,
2013M12,,9.4,,9.4,
2014M01,,,9.15,9.15,
2014M02,,,9.43,9.43,
2014M03,,,10.29,10.29,
2014M04,,,10.53,10.53,
2014M05,,,10.6,10.6,
2014M06,,,10.68,10.68,
2014M07,,,10.69,10.69,
2014M08,,,10.56,10.56,
2014M09,,,10.62,10.62,
2014M10,,,10.79,10.79,
2014M11,,,11.97,11.97,
2014M12,,,18.31,18.31,
2015M01,,,19.86,19.86,
2015M02,,,18.14,18.14,
2015M03,,,17.91,17.91,
2015M04,,,17.17,17.17,
2015M05,,,16.02,16.02,
2015M06,,,15.51,15.51,
2015M07,,,14.65,14.65,
2015M08,,,14.24,14.24,
2015M09,,,13.97,13.97,
2015M10,,,13.58,13.58,
2015M11,,,13.75,13.75,
2015M12,,,13.8,13.8,
2016M01,,,13.37,13.37,
2016M02,,,13.41,13.41,
2016M03,,,13.24,13.24,
2016M04,,,13,13,
2016M05,,,13.06,13.06,
2016M06,,,12.71,12.71,
2016M07,,,12.44,12.44,
2016M08,,,12.19,12.19,
2016M09,,,12.07,12.07,
2016M10,,,12.07,12.07,
2016M11,,,11.72,11.72,
2016M12,,,11.83,11.83,
2017M01,,,11.61,11.61,
2017M02,,,11.48,11.48,
2017M03,,,11.41,11.41,
2017M04,,,11.02,11.02,
2017M05,,,10.72,10.72,
2017M06,,,10.68,10.68,
2017M07,,,10.44,10.44,
2017M08,,,10.41,10.41,
2017M09,,,10.03,10.03,
2017M10,,,9.82,9.82,
2017M11,,,9.67,9.67,
2017M12,,,9.43,9.43,
2018M01,,,9.14,9.14,
2018M02,,,8.81,8.81,
2018M03,,,8.77,8.77,
2018M04,,,8.66,8.66,
2018M05,,,8.75,8.75,
2018M06,,,8.82,8.82,
2018M07,,,8.75,8.75,
2018M08,,,8.72,8.72,
2018M09,,,9,9,
2018M10,,,8.84,8.84,
2018M11,,,8.94,8.94,
2018M12,,,9.2,9.2,
2019M01,,,9.26,9.26,
2019M02,,,9.29,9.29,
2019M03,,,9.3,9.3,
2019M04,,,9.24,9.24,
2019M05,,,9.2,9.2,
